Election,HINDI,Jurisdiction,AbsenteeApplications,BallotsSent,BallotsReturned,InPersonAbsentee,
2024 General Election,71121,VILLAGE OF FOX CROSSING - MULTIPLE COUNTIES,2193,2182,1105,0,18-Oct
2024 General Election,71191,VILLAGE OF WINNECONNE - WINNEBAGO COUNTY,200,200,110,0,18-Oct
2024 General Election,71251,CITY OF MENASHA - MULTIPLE COUNTIES,1643,1617,920,0,18-Oct
2024 General Election,71261,CITY OF NEENAH - WINNEBAGO COUNTY,3138,3115,1667,0,18-Oct
2024 General Election,71265,CITY OF OMRO - WINNEBAGO COUNTY,290,290,141,0,18-Oct
2024 General Election,71266,CITY OF OSHKOSH - WINNEBAGO COUNTY,6575,6546,3837,0,18-Oct
2024 General Election,72002,TOWN OF ARPIN - WOOD COUNTY,46,42,30,0,18-Oct
2024 General Election,72004,TOWN OF AUBURNDALE - WOOD COUNTY,41,41,17,0,18-Oct
2024 General Election,72006,TOWN OF CAMERON - WOOD COUNTY,27,27,15,0,18-Oct
2024 General Election,72008,TOWN OF CARY - WOOD COUNTY,29,29,19,0,18-Oct
2024 General Election,72010,TOWN OF CRANMOOR - WOOD COUNTY,8,8,2,0,18-Oct
2024 General Election,72012,TOWN OF DEXTER - WOOD COUNTY,11,10,9,0,18-Oct
2024 General Election,72014,TOWN OF GRAND RAPIDS - WOOD COUNTY,854,849,493,0,18-Oct
2024 General Election,72016,TOWN OF HANSEN - WOOD COUNTY,48,48,24,0,18-Oct
2024 General Election,72018,TOWN OF HILES - WOOD COUNTY,3,3,1,0,18-Oct
2024 General Election,72020,TOWN OF LINCOLN - WOOD COUNTY,126,118,53,0,18-Oct
2024 General Election,72022,TOWN OF MARSHFIELD - WOOD COUNTY,78,78,44,0,18-Oct
2024 General Election,72024,TOWN OF MILLADORE - WOOD COUNTY,38,36,18,0,18-Oct
2024 General Election,72026,TOWN OF PORT EDWARDS - WOOD COUNTY,82,79,28,0,18-Oct
2024 General Election,72028,TOWN OF REMINGTON - WOOD COUNTY,12,10,0,0,18-Oct
2024 General Election,72030,TOWN OF RICHFIELD - WOOD COUNTY,87,86,45,0,18-Oct
2024 General Election,72032,TOWN OF ROCK - WOOD COUNTY,63,56,18,0,18-Oct
2024 General Election,72034,TOWN OF RUDOLPH - WOOD COUNTY,65,65,33,0,18-Oct
2024 General Election,72036,TOWN OF SARATOGA - WOOD COUNTY,378,377,201,0,18-Oct
2024 General Election,72038,TOWN OF SENECA - WOOD COUNTY,78,78,32,0,18-Oct
2024 General Election,72040,TOWN OF SHERRY - WOOD COUNTY,24,23,12,0,18-Oct
2024 General Election,72042,TOWN OF SIGEL - WOOD COUNTY,88,88,36,0,18-Oct
2024 General Election,72044,TOWN OF WOOD - WOOD COUNTY,48,48,25,0,18-Oct
2024 General Election,72100,VILLAGE OF ARPIN - WOOD COUNTY,18,18,8,0,18-Oct
2024 General Election,72101,VILLAGE OF AUBURNDALE - WOOD COUNTY,35,35,7,0,18-Oct
2024 General Election,72106,VILLAGE OF BIRON - WOOD COUNTY,86,72,39,0,18-Oct
2024 General Election,72122,VILLAGE OF HEWITT - WOOD COUNTY,62,62,41,0,18-Oct
2024 General Election,72151,VILLAGE OF MILLADORE - MULTIPLE COUNTIES,13,11,3,0,18-Oct
2024 General Election,72171,VILLAGE OF PORT EDWARDS - WOOD COUNTY,131,129,66,0,18-Oct
2024 General Election,72178,VILLAGE OF RUDOLPH - WOOD COUNTY,29,24,0,0,18-Oct
2024 General Election,72186,VILLAGE OF VESPER - WOOD COUNTY,23,23,15,0,18-Oct
2024 General Election,72251,CITY OF MARSHFIELD - MULTIPLE COUNTIES,1810,1793,1100,0,18-Oct
2024 General Election,72261,CITY OF NEKOOSA - WOOD COUNTY,135,134,82,0,18-Oct
2024 General Election,72271,CITY OF PITTSVILLE - WOOD COUNTY,34,34,17,0,18-Oct
2024 General Election,72291,CITY OF WISCONSIN RAPIDS - WOOD COUNTY,1529,1525,995,0,18-Oct
2024 General Election,99999,TOTAL,593550,586616,305344,,18-Oct
